"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"DHS2014","153_29",0.18425,9,1,4,44,1,"borehole_tube_well","charcoal","sheet_metal_asbestos_slate",2,"cement_or_finished",1,4,3,0,1,3,0,1,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.27635
"DHS2014","25_29",0.787874,2,1,8,65,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",2,"cement_or_finished",1,8,3,2,5,3,2,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,-0.01721
"DHS2014","155_23",1.575978,6,0,6,70,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",3,"cement_or_finished",1,6,3,2,2,4,2,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.07766
"DHS2014","97_14",0.506054,7,0,4,45,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,4,3,0,2,2,0,0,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.52942
"DHS2014","166_1",0.466128,2,0,3,68,0,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,3,1,0,0,3,1,0,"pit_or_kvip","higher",NA,NA,NA,1,0,NA,NA,NA,NA,2,-0.58872
"DHS2014","105_27",1.428052,4,1,1,22,1,"protected_well_spring","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,0,"pit_or_kvip","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.0071
"DHS2014","285_16",1.586474,6,1,5,29,0,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,2,1,3,2,0,0,"pit_or_kvip","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,1,-0.91742
"DHS2014","8_25",1.557555,6,1,1,20,1,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"flush_or_wc","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,5,1.44623
"DHS2014","212_14",0.946368,6,1,1,27,0,"packaged_water","no_cooking","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"pit_or_kvip","basic_or_middle",NA,NA,NA,0,0,NA,NA,NA,NA,4,0.85553
"DHS2014","310_2",0.351848,10,0,12,50,0,"borehole_tube_well","wood","cement_tile_shingle",5,"earth_mud_dung",0,12,4,2,6,6,0,1,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.0416
"DHS2014","197_1",0.884832,1,1,3,47,1,"packaged_water","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,3,1,1,2,0,1,"flush_or_wc","basic_or_middle",NA,NA,NA,1,0,NA,NA,NA,NA,4,0.70402
"DHS2014","96_4",0.7866,8,0,6,28,1,"borehole_tube_well","wood","natural_thatch_bamboo",1,"cement_or_finished",1,6,5,2,4,2,0,0,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-2.22592
"DHS2014","37_2",1.137571,2,0,10,63,0,"surface_or_unprotected","wood","sheet_metal_asbestos_slate",2,"cement_or_finished",1,10,4,2,6,4,0,1,"pit_or_kvip","none_or_primary",NA,NA,NA,0,0,NA,NA,NA,NA,2,-0.57082
"DHS2014","347_3",0.20895,10,0,1,68,0,"borehole_tube_well","wood","cement_tile_shingle",1,"earth_mud_dung",0,1,0,0,0,1,1,1,"no_facility","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,1,-1.32203
"DHS2014","171_3",0.875906,1,0,3,22,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,3,2,0,1,2,0,0,"pit_or_kvip","none_or_primary",NA,NA,NA,1,0,NA,NA,NA,NA,3,0.01547
