"survey","hh_key","household_weight","region10","urban","hh_size","head_age","head_female","water_source_cat","cooking_fuel_cat","roof_material_cat","sleeping_rooms","floor_material_screen","floor_non_earth","members_total","female_members","children_under5","children_under15","adults_15plus","elders_65plus","has_electricity","toilet_type_screen","head_educ_cat","welfare","poverty_status","poverty_status_code","nhis_any_member_registered","nhis_any_missing","totexpeqsc_real","fdexpeqsc_real","nfexpeqsc_real","TOTHLTH","wealth_index","wealth_score"
"GLSS6","60645/06",492.397644042969,6,1,7,53,0,"piped_dwelling_or_yard","wood","sheet_metal_asbestos_slate",4,"cement_or_finished",1,7,3,0,0,7,1,1,"flush_or_wc","secondary_or_vocational",4707.58935546875,"Non poor",2,1,0,12.8975048065186,4.57039833068848,8.32710647583008,73,NA,NA
"GLSS6","60320/04",393.625030517578,3,1,6,38,0,"packaged_water","gas_or_electricity","sheet_metal_asbestos_slate",2,"cement_or_finished",1,6,4,1,4,2,0,1,"flush_or_wc","higher",2300.77587890625,"Non poor",2,1,0,6.30349588394165,1.29147052764893,5.01202535629272,7.30000019073486,NA,NA
"GLSS6","60049/07",283.470397949219,1,0,6,52,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",3,"cement_or_finished",1,6,3,0,2,4,1,0,"pit_or_kvip","secondary_or_vocational",2120.84204101562,"Non poor",2,1,0,5.81052589416504,2.88665556907654,2.9238703250885,236.519989013672,NA,NA
"GLSS6","61047/04",44.4430389404297,9,0,10,49,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",4,"cement_or_finished",1,10,3,0,5,5,0,1,"no_facility","secondary_or_vocational",1549.25317382812,"Non poor",2,1,0,4.24452924728394,1.79227471351624,2.4522545337677,124.099998474121,NA,NA
"GLSS6","60002/11",349.602233886719,1,0,1,60,1,"borehole_tube_well","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,0,"pit_or_kvip","none_or_primary",2131.93359375,"Non poor",2,0,0,5.84091377258301,5.11967277526855,0.721240997314453,14.6000003814697,NA,NA
"GLSS6","60008/02",349.123504638672,1,1,1,46,0,"borehole_tube_well","gas_or_electricity","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,0,0,0,1,0,1,"flush_or_wc","none_or_primary",11968.07421875,"Non poor",2,1,0,32.7892456054688,17.842134475708,14.9471111297607,1172,NA,NA
"GLSS6","60578/05",468.371795654297,5,1,8,45,0,"packaged_water","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,8,2,0,4,4,0,1,"pit_or_kvip","basic_or_middle",1525.72290039062,"Non poor",2,0,0,4.18006277084351,2.04004883766174,2.14001393318176,0,NA,NA
"GLSS6","60447/05",275.885437011719,4,1,7,57,0,"public_or_neighbor_piped","wood","sheet_metal_asbestos_slate",3,"cement_or_finished",1,9,6,0,3,6,0,1,"pit_or_kvip","secondary_or_vocational",2621.85278320312,"Non poor",2,1,1,7.18315839767456,2.75125861167908,4.43190002441406,29.2000007629395,NA,NA
"GLSS6","60373/09",618.741821289062,3,1,8,45,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",2,"cement_or_finished",1,8,4,3,5,3,0,1,"no_facility","basic_or_middle",1474.24194335938,"Non poor",2,1,0,4.0390191078186,2.27422022819519,1.76479887962341,14.6000003814697,NA,NA
"GLSS6","60536/06",274.948059082031,5,1,5,65,0,"protected_well_spring","wood","sheet_metal_asbestos_slate",3,"cement_or_finished",1,5,3,0,3,2,1,1,"pit_or_kvip","none_or_primary",1981.67553710938,"Non poor",2,1,0,5.4292483329773,3.62056851387024,1.80867981910706,0,NA,NA
"GLSS6","61139/06",134.589630126953,10,0,6,42,0,"borehole_tube_well","wood","sheet_metal_asbestos_slate",3,"cement_or_finished",1,6,5,2,4,2,0,0,"no_facility","none_or_primary",767.353210449219,"Very poor",0,1,0,2.10233759880066,1.32039177417755,0.781945824623108,0,NA,NA
"GLSS6","60594/04",325.927398681641,5,1,1,63,1,"rain_tanker_vendor","wood","sheet_metal_asbestos_slate",1,"cement_or_finished",1,1,1,0,0,1,0,1,"no_facility","none_or_primary",5235.23291015625,"Non poor",2,1,0,14.3431043624878,3.79506683349609,10.5480375289917,163.800003051758,NA,NA
"GLSS6","60868/11",667.650756835938,7,0,3,25,0,"surface_or_unprotected","wood","natural_thatch_bamboo",1,"earth_mud_dung",0,3,1,1,1,2,0,0,"no_facility","none_or_primary",1339.37451171875,"Non poor",2,0,0,3.6695191860199,2.48532223701477,1.18419694900513,90,NA,NA
"GLSS6","60309/10",421.114074707031,3,1,2,49,1,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,2,2,0,0,2,0,0,"pit_or_kvip","none_or_primary",1775.55554199219,"Non poor",2,0,0,4.86453580856323,1.90814685821533,2.9563889503479,80,NA,NA
"GLSS6","60468/01",155.854873657227,4,0,4,43,0,"surface_or_unprotected","wood","natural_thatch_bamboo",2,"wood_brick_stone",1,4,1,0,2,2,0,0,"pit_or_kvip","basic_or_middle",1049.13525390625,"Poor",1,1,0,2.87434315681458,1.78197062015533,1.09237253665924,0,NA,NA
"GLSS6","60047/02",456.334381103516,1,1,1,42,0,"public_or_neighbor_piped","no_cooking","sheet_metal_asbestos_slate",1,"cement_or_finished",1,5,3,0,1,4,0,1,"pit_or_kvip","basic_or_middle",13493.6201171875,"Non poor",2,1,1,36.968822479248,8.30553531646729,28.6632881164551,0,NA,NA
"GLSS6","60751/13",872.5556640625,6,1,7,34,0,"borehole_tube_well","charcoal","sheet_metal_asbestos_slate",1,"cement_or_finished",1,7,4,2,5,2,0,1,"pit_or_kvip","basic_or_middle",3061.59008789062,"Non poor",2,1,0,8.38791847229004,4.64457082748413,3.74334764480591,302,NA,NA
"GLSS6","60949/13",250.223281860352,8,1,11,52,0,"public_or_neighbor_piped","charcoal","sheet_metal_asbestos_slate",4,"cement_or_finished",1,11,8,0,5,6,0,1,"pit_or_kvip","none_or_primary",1183.15502929688,"Poor",1,1,0,3.24152064323425,1.72721040248871,1.51431024074554,37.9599990844727,NA,NA
